Importer,Exporter,total
HK,PT,32
HK,SE,2
HK,SE,2
HU,CH,1
IE,CH,1
IE,NZ,2
IL,CU,222.8
IS,GB,50
IT,CA,64
IT,MC,1
IT,SG,2
IT,US,1
JP,FR,2
JP,FR,208
JP,GB,94
JP,GR,2
JP,IT,1
JP,NL,2
JP,PL,52
JP,US,1
KY,GB,1
LB,US,3
LI,AT,1
LI,AT,7
MC,FR,1
MO,PT,1
MX,CU,1634.5
MX,CU,0.345
MX,ES,1
MX,ES,2
MX,GB,1
MX,GB,50
MX,PT,1
MX,US,4
NL,RU,12
NL,US,1
NL,US,1
NL,US,2
NO,DE,36
NO,DE,1
NO,DK,5
NO,DK,1
NO,DK,1.1
NO,DK,3
NO,DK,12
NO,NL,1
NO,PL,360
NO,SE,2
NZ,FR,1
NZ,FR,78.5
NZ,GB,29
NZ,GB,4
NZ,HU,1
NZ,IE,52
NZ,ZA,52
PE,BE,1
PH,SG,3
PH,SG,5
PL,CH,1
PL,CH,2
PL,NO,15
PL,NO,1
PT,SG,20
RU,GB,2
RU,JP,4
SE,NO,1
SE,NO,1
SG,FR,1.5
SG,GB,1
SG,GB,12
SG,HK,1
SG,PH,3
SG,PH,5
SG,PT,22
SG,PT,2
TW,GB,4
TW,JP,83
US,AR,24
US,AU,52
US,BE,1
US,BH,1
US,CA,10
US,CA,2
US,CA,49
US,CA,10
US,CA,104
US,CA,8
US,CN,16
US,CN,5
US,CN,2
US,CZ,5
US,ET,3
US,ET,1
